class,precision,recall,f1-score,support
pending_transfer,0.9032,0.7179,0.8,39.0
balance_not_updated_after_bank_transfer,0.8049,0.825,0.8148,40.0
topping_up_by_card,0.8649,0.8,0.8312,40.0
compromised_card,0.8293,0.85,0.8395,40.0
transfer_not_received_by_recipient,0.8095,0.8718,0.8395,39.0
why_verify_identity,0.8889,0.8,0.8421,40.0
verify_my_identity,0.814,0.875,0.8434,40.0
card_payment_not_recognised,0.8919,0.825,0.8571,40.0
transfer_timing,0.8182,0.9,0.8571,40.0
direct_debit_payment_not_recognised,0.8718,0.85,0.8608,40.0
fiat_currency_support,0.8947,0.85,0.8718,40.0
declined_transfer,1.0,0.775,0.8732,40.0
declined_card_payment,0.8085,0.95,0.8736,40.0
card_arrival,0.875,0.875,0.875,40.0
card_delivery_estimate,0.875,0.875,0.875,40.0
card_not_working,0.7959,0.975,0.8764,40.0
transfer_into_account,0.9189,0.85,0.8831,40.0
top_up_reverted,0.8974,0.875,0.8861,40.0
top_up_failed,0.878,0.9,0.8889,40.0
lost_or_stolen_card,0.8444,0.95,0.8941,40.0
card_payment_fee_charged,0.8636,0.95,0.9048,40.0
declined_cash_withdrawal,0.8333,1.0,0.9091,40.0
top_up_by_cash_or_cheque,0.9231,0.9,0.9114,40.0
failed_transfer,0.9024,0.925,0.9136,40.0
exchange_via_app,0.881,0.9487,0.9136,39.0
card_payment_wrong_exchange_rate,0.9024,0.925,0.9136,40.0
supported_cards_and_currencies,0.8837,0.95,0.9157,40.0
reverted_card_payment?,0.8837,0.95,0.9157,40.0
disposable_card_limits,0.9474,0.9,0.9231,40.0
pending_card_payment,0.9474,0.9,0.9231,40.0
top_up_by_bank_transfer_charge,0.9474,0.9,0.9231,40.0
order_physical_card,0.925,0.925,0.925,40.0
unable_to_verify_identity,0.925,0.925,0.925,40.0
pending_top_up,0.925,0.925,0.925,40.0
getting_virtual_card,0.8864,0.975,0.9286,40.0
wrong_exchange_rate_for_cash_withdrawal,0.973,0.9,0.9351,40.0
pin_blocked,0.973,0.9,0.9351,40.0
card_acceptance,0.973,0.9,0.9351,40.0
get_disposable_virtual_card,0.973,0.9,0.9351,40.0
top_up_by_card_charge,0.9268,0.95,0.9383,40.0
beneficiary_not_allowed,0.9268,0.95,0.9383,40.0
cash_withdrawal_not_recognised,0.907,0.975,0.9398,40.0
exchange_rate,0.907,0.975,0.9398,40.0
card_swallowed,1.0,0.9,0.9474,40.0
exchange_charge,0.9737,0.925,0.9487,40.0
transfer_fee_charged,0.95,0.95,0.95,40.0
cash_withdrawal_charge,0.95,0.95,0.95,40.0
contactless_not_working,1.0,0.925,0.961,40.0
automatic_top_up,1.0,0.925,0.961,40.0
visa_or_mastercard,1.0,0.925,0.961,40.0
virtual_card_not_working,1.0,0.925,0.961,40.0
wrong_amount_of_cash_received,1.0,0.925,0.961,40.0
receiving_money,0.9744,0.95,0.962,40.0
extra_charge_on_statement,0.9744,0.95,0.962,40.0
cancel_transfer,0.9744,0.95,0.962,40.0
top_up_limits,0.9512,0.975,0.963,40.0
getting_spare_card,0.9512,0.975,0.963,40.0
country_support,0.9302,1.0,0.9639,40.0
transaction_charged_twice,0.9302,1.0,0.9639,40.0
atm_support,0.9744,0.9744,0.9744,39.0
balance_not_updated_after_cheque_or_cash_deposit,1.0,0.95,0.9744,40.0
get_physical_card,0.9524,1.0,0.9756,40.0
request_refund,1.0,0.975,0.9873,40.0
lost_or_stolen_phone,1.0,0.975,0.9873,40.0
pending_cash_withdrawal,1.0,0.975,0.9873,40.0
activate_my_card,1.0,0.975,0.9873,40.0
age_limit,0.9756,1.0,0.9877,40.0
edit_personal_details,0.9756,1.0,0.9877,40.0
change_pin,0.9756,1.0,0.9877,40.0
terminate_account,0.9756,1.0,0.9877,40.0
card_linking,1.0,1.0,1.0,40.0
Refund_not_showing_up,1.0,1.0,1.0,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
card_about_to_expire,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,1.0,1.0,1.0,40.0
verify_source_of_funds,1.0,1.0,1.0,40.0
verify_top_up,1.0,1.0,1.0,40.0
